TIRF Data File: Project 1320; Run 115
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
29.620	40.09	430.25	-0.005	0.024	25.083	24.720	96.23	2525.22	-86.55	-1581.63	12.54	21.45	-1.60	0.05	38.95	60.84	73.08	72.66	80.00	0.015	0.044
29.640	40.08	429.58	-0.008	0.022	25.084	24.755	96.16	2468.61	-71.82	-1610.22	17.06	17.36	-1.53	0.04	38.64	60.64	72.89	72.58	80.00	0.013	0.043
29.660	40.10	428.68	-0.002	0.025	25.087	24.819	96.23	2379.78	-63.74	-1577.22	23.61	25.64	-1.51	0.04	38.68	60.46	72.69	72.46	79.99	0.011	0.040
29.680	40.09	428.02	0.001	0.024	25.091	24.849	96.36	2263.55	-72.01	-1522.45	33.17	31.04	-1.49	0.05	38.44	60.23	72.42	72.31	80.02	0.010	0.039
29.700	40.07	427.82	-0.005	0.018	25.092	24.851	96.23	2195.25	-88.33	-1473.54	29.54	40.08	-1.49	0.06	38.77	59.98	72.17	72.13	79.99	0.010	0.038
29.720	40.04	427.98	-0.003	0.025	25.087	24.819	96.29	2194.51	-92.17	-1457.20	15.75	39.48	-1.51	0.06	38.77	59.73	71.87	71.97	80.02	0.011	0.040
29.740	40.01	427.86	-0.003	0.025	25.085	24.809	96.36	2208.42	-72.27	-1515.39	17.49	23.16	-1.46	0.05	38.85	59.54	71.60	71.81	79.99	0.011	0.040
29.760	40.00	427.24	-0.009	0.024	25.083	24.842	96.23	2198.72	-52.98	-1587.00	20.19	14.43	-1.39	0.03	38.99	59.31	71.38	71.72	80.03	0.010	0.039
29.780	39.98	426.10	0.000	0.021	25.086	24.891	96.23	2131.40	-43.11	-1603.47	21.30	11.68	-1.33	0.03	38.83	59.06	71.11	71.62	80.01	0.008	0.037
29.800	39.96	424.89	-0.003	0.021	25.092	24.953	96.23	2005.50	-43.16	-1563.35	29.37	9.84	-1.28	0.03	38.87	58.87	70.86	71.47	80.02	0.006	0.034
29.820	39.95	423.99	-0.003	0.021	25.090	24.997	96.16	1893.24	-50.77	-1497.12	37.41	23.12	-1.26	0.03	39.01	58.56	70.52	71.31	80.02	0.004	0.032
29.840	39.92	423.60	-0.003	0.021	25.092	25.006	96.23	1825.33	-54.01	-1443.49	32.54	35.30	-1.26	0.04	38.95	58.27	70.19	71.11	80.01	0.003	0.032
29.860	39.91	423.56	-0.003	0.022	25.084	24.999	96.23	1799.54	-57.03	-1440.39	20.35	33.35	-1.25	0.04	38.97	58.02	69.92	70.86	80.04	0.003	0.032
