TIRF Data File: Project 1320; Run 116
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
32.260	40.64	343.13	0.013	0.021	24.030	31.421	55.44	-3506.70	51.57	-1599.50	47.90	-71.20	2.19	-0.03	37.65	62.90	71.46	70.62	79.90	-0.235	-0.190
32.280	40.63	342.15	0.016	0.024	24.029	31.504	55.44	-3501.67	51.95	-1599.33	63.24	-64.29	2.19	-0.03	37.75	62.99	71.56	70.73	79.92	-0.237	-0.192
32.300	40.61	341.14	0.010	0.022	24.032	31.583	55.51	-3489.97	57.54	-1562.50	61.60	-45.10	2.23	-0.04	37.63	63.03	71.63	70.82	79.92	-0.239	-0.194
32.320	40.61	340.16	0.019	0.028	24.034	31.674	55.37	-3473.32	62.64	-1516.17	43.75	-34.01	2.29	-0.04	37.56	63.11	71.68	70.88	79.90	-0.241	-0.196
32.340	40.60	339.50	0.014	0.024	24.031	31.729	55.37	-3498.29	55.60	-1503.59	34.49	-42.20	2.33	-0.04	37.58	63.12	71.73	71.00	79.92	-0.243	-0.197
32.360	40.58	338.87	0.019	0.030	24.028	31.773	55.44	-3522.63	39.82	-1533.34	41.15	-51.10	2.30	-0.03	37.56	63.13	71.79	71.07	79.89	-0.244	-0.199
32.380	40.53	338.40	0.021	0.030	24.026	31.776	55.37	-3516.70	30.25	-1576.30	49.62	-53.89	2.23	-0.02	37.46	63.24	71.92	71.20	79.92	-0.244	-0.199
32.400	40.52	338.17	0.013	0.025	24.029	31.787	55.51	-3505.86	32.89	-1600.90	47.33	-58.88	2.19	-0.02	37.59	63.34	72.04	71.34	79.89	-0.244	-0.199
32.420	40.51	337.97	0.019	0.027	24.029	31.802	55.37	-3489.55	42.41	-1607.14	44.35	-66.54	2.17	-0.03	37.59	63.43	72.20	71.47	79.93	-0.244	-0.199
32.440	40.52	337.93	0.014	0.022	24.030	31.809	55.37	-3480.73	42.52	-1600.95	48.65	-72.40	2.17	-0.03	37.59	63.54	72.33	71.59	79.91	-0.245	-0.199
32.460	40.53	337.97	0.010	0.011	24.038	31.813	55.31	-3466.84	46.41	-1591.88	62.76	-64.23	2.18	-0.03	37.56	63.57	72.41	71.71	79.91	-0.244	-0.200
32.480	40.54	337.97	0.023	0.021	24.036	31.828	55.37	-3443.69	56.17	-1563.66	66.94	-43.61	2.20	-0.04	37.56	63.65	72.49	71.81	79.91	-0.245	-0.200
32.500	40.55	337.97	0.019	0.025	24.037	31.831	55.31	-3437.84	54.38	-1525.47	48.88	-35.15	2.25	-0.04	37.59	63.68	72.52	71.92	79.90	-0.245	-0.200
32.520	40.56	337.89	0.029	0.025	24.041	31.846	55.37	-3439.85	43.67	-1510.95	34.98	-42.44	2.28	-0.03	37.65	63.73	72.61	72.04	79.92	-0.245	-0.200
32.540	40.56	337.62	0.019	0.021	24.038	31.872	55.44	-3439.43	41.76	-1543.07	43.50	-53.03	2.23	-0.03	37.69	63.79	72.71	72.14	79.89	-0.246	-0.201
32.560	40.58	337.31	0.023	0.024	24.037	31.916	55.44	-3451.98	40.53	-1583.41	52.67	-57.64	2.18	-0.03	37.73	63.87	72.80	72.30	79.93	-0.247	-0.202
32.580	40.60	336.92	0.014	0.025	24.031	31.971	55.37	-3459.97	34.74	-1598.71	43.71	-60.51	2.16	-0.02	37.83	63.95	72.93	72.42	79.89	-0.248	-0.204
32.600	40.62	336.41	0.016	0.024	24.041	32.034	55.51	-3461.72	36.72	-1603.01	40.36	-69.61	2.16	-0.02	37.89	64.06	73.05	72.55	79.92	-0.250	-0.205
32.620	40.62	336.14	0.016	0.021	24.040	32.064	55.37	-3444.15	43.87	-1599.19	50.97	-73.75	2.15	-0.03	37.99	64.13	73.13	72.68	79.91	-0.250	-0.206
32.640	40.64	335.90	0.011	0.021	24.046	32.098	55.37	-3401.06	54.51	-1583.58	63.84	-59.68	2.15	-0.03	38.09	64.17	73.24	72.76	79.91	-0.251	-0.207
32.660	40.61	335.51	0.011	0.017	24.047	32.113	55.44	-3354.89	55.87	-1558.16	62.82	-41.09	2.15	-0.04	38.16	64.23	73.34	72.85	79.92	-0.251	-0.207
32.680	40.58	335.16	0.017	0.025	24.049	32.124	55.37	-3341.90	42.95	-1532.36	45.37	-35.12	2.18	-0.03	38.28	64.27	73.43	72.89	79.90	-0.251	-0.207
32.700	40.54	334.53	0.011	0.028	24.046	32.155	55.31	-3357.88	38.56	-1517.00	34.78	-42.73	2.21	-0.03	38.56	64.29	73.43	73.01	79.93	-0.252	-0.208
32.720	40.53	333.99	0.019	0.030	24.048	32.193	55.44	-3394.55	47.75	-1532.30	41.50	-56.32	2.22	-0.03	38.46	64.32	73.56	73.10	79.90	-0.253	-0.209
32.740	40.52	333.52	0.016	0.022	24.047	32.231	55.44	-3436.14	43.97	-1571.05	52.85	-61.12	2.19	-0.03	38.54	64.36	73.65	73.17	79.92	-0.254	-0.210
32.760	40.48	333.40	0.019	0.027	24.047	32.216	55.51	-3461.58	30.72	-1589.75	47.95	-60.24	2.18	-0.02	38.58	64.42	73.78	73.29	79.91	-0.254	-0.210
32.780	40.44	333.63	0.017	0.025	24.047	32.156	55.51	-3467.68	32.65	-1591.75	42.38	-68.33	2.18	-0.02	38.73	64.55	73.90	73.36	79.92	-0.252	-0.208
32.800	40.40	334.14	0.014	0.021	24.048	32.078	55.44	-3438.80	52.90	-1588.66	52.75	-74.28	2.16	-0.03	38.56	64.55	74.01	73.40	79.91	-0.250	-0.206
32.820	40.37	334.65	0.014	0.022	24.051	32.007	55.37	-3395.65	63.56	-1582.62	67.57	-63.12	2.15	-0.04	38.62	64.61	74.09	73.46	79.89	-0.249	-0.204
32.840	40.33	335.00	0.020	0.031	24.048	31.944	55.44	-3364.25	59.24	-1551.87	62.26	-43.53	2.17	-0.04	38.68	64.64	74.16	73.49	79.92	-0.247	-0.203
32.860	40.29	335.16	0.021	0.030	24.050	31.896	55.37	-3354.80	53.28	-1515.27	42.48	-35.93	2.21	-0.04	38.64	64.67	74.20	73.52	79.89	-0.246	-0.202
32.880	40.27	335.16	0.019	0.024	24.051	31.877	55.37	-3377.71	51.81	-1499.89	34.69	-46.61	2.25	-0.03	38.66	64.67	74.20	73.53	79.93	-0.246	-0.201
32.900	40.28	335.12	0.019	0.022	24.046	31.892	55.37	-3415.02	46.58	-1530.25	45.54	-57.33	2.23	-0.03	38.68	64.73	74.25	73.58	79.88	-0.246	-0.202
32.920	40.30	335.00	0.013	0.021	24.044	31.914	55.44	-3451.01	33.62	-1565.97	50.87	-56.49	2.20	-0.02	38.62	64.76	74.27	73.63	79.92	-0.247	-0.202
32.940	40.31	335.04	0.013	0.021	24.046	31.922	55.44	-3487.01	30.04	-1575.43	43.06	-62.00	2.21	-0.02	38.56	64.80	74.39	73.71	79.90	-0.247	-0.202
32.960	40.32	335.32	0.014	0.030	24.042	31.899	55.44	-3487.50	42.37	-1580.51	42.23	-70.76	2.21	-0.03	38.60	64.86	74.47	73.73	79.90	-0.246	-0.202
32.980	40.32	335.67	0.014	0.025	24.045	31.873	55.37	-3449.65	55.01	-1583.14	53.10	-69.06	2.18	-0.03	38.62	64.95	74.55	73.78	79.93	-0.246	-0.201
33.000	40.32	335.94	0.010	0.027	24.041	31.844	55.44	-3418.45	53.87	-1574.25	64.85	-59.82	2.17	-0.03	38.62	64.93	74.55	73.79	79.89	-0.245	-0.200
33.020	40.32	336.10	0.013	0.022	24.042	31.829	55.44	-3385.72	44.76	-1547.52	58.86	-44.55	2.19	-0.03	38.66	64.96	74.58	73.79	79.93	-0.245	-0.200
33.040	40.34	336.14	0.016	0.030	24.042	31.843	55.37	-3351.26	49.08	-1514.32	40.97	-35.59	2.21	-0.03	38.70	64.95	74.58	73.78	79.89	-0.245	-0.200
33.060	40.39	335.86	0.017	0.024	24.037	31.903	55.37	-3345.49	61.39	-1504.53	34.77	-46.70	2.22	-0.04	38.52	64.99	74.60	73.78	79.92	-0.247	-0.202
33.080	40.44	335.51	0.020	0.022	24.036	31.980	55.44	-3372.98	47.78	-1545.21	44.11	-59.95	2.18	-0.03	38.56	64.99	74.61	73.79	79.90	-0.248	-0.204
